id,code,name,city,country
1,GRU,Aeroporto Internacional de Guarulhos,Guarulhos,Brasil
2,CGH,Aeroporto de Congonhas,São Paulo,Brasil
3,SDU,Aeroporto Santos Dumont,Rio de Janeiro,Brasil
4,GIG,Aeroporto Internacional do Galeão,Rio de Janeiro,Brasil
5,BSB,Aeroporto Internacional de Brasília,Brasília,Brasil
6,SSA,Aeroporto Internacional de Salvador,Salvador,Brasil
7,FOR,Aeroporto Internacional Pinto Martins,Fortaleza,Brasil
8,REC,Aeroporto Internacional do Recife,Recife,Brasil
9,POA,Aeroporto Internacional Salgado Filho,Porto Alegre,Brasil
10,CWB,Aeroporto Internacional Afonso Pena,Curitiba,Brasil
