id,customer_id,flight_id,seat_number,status,created_at,updated_at
1,6,4,5F,confirmed,2024-02-18 04:52:55,2024-02-18 04:52:55
2,4,4,2E,confirmed,2025-01-05 13:36:00,2025-01-05 13:36:00
3,3,8,8E,confirmed,2025-12-23 09:43:24,2025-12-23 09:43:24
4,12,5,24B,cancelled,2024-06-26 22:05:41,2024-06-26 22:05:41
5,3,5,7E,confirmed,2025-04-29 14:36:32,2025-04-29 14:36:32
6,10,11,25D,confirmed,2024-04-28 01:21:14,2024-04-28 01:21:14
7,10,12,16A,confirmed,2024-07-07 01:15:35,2024-07-07 01:15:35
8,10,13,3C,cancelled,2025-10-27 11:05:23,2025-10-27 11:05:23
9,11,6,5E,confirmed,2024-01-20 15:42:22,2024-01-20 15:42:22
10,7,14,32A,pending,2025-07-16 15:20:55,2025-07-16 15:20:55
11,11,15,30F,confirmed,2025-11-07 12:08:15,2025-11-07 12:08:15
12,3,12,34F,confirmed,2026-04-16 00:32:24,2026-04-16 00:32:24
13,8,8,28F,cancelled,2025-02-20 22:30:39,2025-02-20 22:30:39
14,6,14,16A,confirmed,2025-12-01 07:07:00,2025-12-01 07:07:00
15,4,13,30E,cancelled,2025-08-11 17:44:43,2025-08-11 17:44:43
