id,flight_number,origin_airport_id,destination_airport_id,departure_time,arrival_time,total_seats,available_seats,price
1,TM3088,1,5,2025-12-19 11:00:00,2025-12-19 14:00:00,144,26,1012.46
2,CM7658,10,3,2025-06-03 18:15:00,2025-06-03 20:35:00,120,22,1893.1
3,2Z7745,4,5,2025-02-03 07:00:00,2025-02-03 11:00:00,174,56,658.02
4,AV6728,5,4,2025-05-13 07:00:00,2025-05-13 13:00:00,174,84,839.79
5,G35573,6,9,2026-02-11 21:30:00,2026-02-11 22:30:00,160,45,1534.36
6,O61626,2,7,2025-11-20 00:30:00,2025-11-20 05:10:00,180,29,1084.95
7,AM4114,5,1,2026-04-09 09:00:00,2026-04-09 14:40:00,144,93,1190.98
8,2Z6143,2,5,2026-07-28 18:30:00,2026-07-29 00:50:00,160,103,1802.58
9,CM3085,4,7,2026-01-10 23:15:00,2026-01-11 04:55:00,160,103,1459.26
10,LA5978,5,4,2026-03-30 19:30:00,2026-03-30 23:50:00,174,172,690.51
11,AV3780,2,5,2026-08-10 17:30:00,2026-08-10 18:30:00,160,57,2054.09
12,AD1400,1,4,2026-06-09 02:00:00,2026-06-09 06:20:00,180,49,1851.2
13,TM9099,7,4,2025-01-16 05:00:00,2025-01-16 06:20:00,144,45,2048.45
14,CM8611,1,9,2025-06-23 02:00:00,2025-06-23 06:00:00,174,170,1420.6
15,CM6198,8,9,2026-03-25 22:45:00,2026-03-26 01:25:00,174,115,795.14
