id,customer_id,room_id,check_in,check_out,status,total_price,created_at
1,6,1,2025-10-20,2025-11-03,confirmed,8505.84,2024-10-09 11:28:52
2,8,7,2025-05-30,2025-06-12,confirmed,5227.69,2025-06-12 16:45:06
3,5,29,2026-02-01,2026-02-13,confirmed,2183.76,2026-05-13 09:23:29
4,1,17,2024-12-13,2024-12-15,confirmed,395.78,2025-09-23 08:44:19
5,8,18,2026-07-17,2026-07-21,pending,5082.32,2026-02-01 11:08:44
6,8,26,2024-06-18,2024-06-20,confirmed,1413.76,2024-12-10 05:42:45
7,7,23,2025-02-05,2025-02-10,cancelled,4286.05,2025-07-27 06:04:46
8,8,18,2025-11-26,2025-12-02,pending,7623.48,2026-05-04 23:58:10
9,6,12,2026-05-21,2026-05-29,confirmed,6221.04,2025-04-21 07:44:01
10,5,8,2024-10-02,2024-10-14,confirmed,10014.36,2025-05-05 04:28:48
11,2,24,2025-12-01,2025-12-14,confirmed,5848.05,2024-10-24 13:09:54
12,4,24,2025-10-09,2025-10-14,cancelled,2249.25,2026-03-25 23:52:48
