id,name,city,country,stars,address
1,Ibis São Paulo Express,São Paulo,Brasil,2,"Av. Ana Pereira, 4112"
2,Pullman Rio de Janeiro Premium,Rio de Janeiro,Brasil,3,"Av. Eliane Souza, 9035"
3,Mercure Brasília Plus,Brasília,Brasil,2,"Av. Sara Ribeiro, 620"
4,Novotel Fortaleza Grand,Fortaleza,Brasil,2,"Av. Carla Ferreira, 3911"
5,Holiday Inn Salvador Select,Salvador,Brasil,2,"Av. Rafael Ferreira, 9028"
6,Sheraton Recife Boutique,Recife,Brasil,5,"Av. Henrique Rocha, 9754"
7,Marriott Manaus Express,Manaus,Brasil,4,"Av. Zara Silva, 2715"
8,Hilton Belém Premium,Belém,Brasil,5,"Av. Karina Pereira, 2647"
9,Intercontinental Porto Alegre Plus,Porto Alegre,Brasil,3,"Av. Yasmin Nascimento, 1774"
10,Best Western Curitiba Grand,Curitiba,Brasil,2,"Av. Mariana Souza, 5981"
11,Golden Tulip Florianópolis Select,Florianópolis,Brasil,4,"Av. Thiago Pereira, 811"
12,Windsor Goiânia Boutique,Goiânia,Brasil,5,"Av. Rafael Souza, 6301"
