id,reservation_type,reservation_id,amount,status,payment_method,created_at
1,flight,1,839.79,paid,credit_card,2025-03-15 14:57:22
2,flight,2,839.79,paid,debit_card,2024-10-28 13:13:40
3,flight,3,1802.58,paid,debit_card,2024-12-19 09:11:13
4,flight,4,1534.36,refunded,debit_card,2024-10-05 18:03:56
5,flight,5,1534.36,paid,pix,2024-01-22 23:29:21
6,flight,6,2054.09,paid,credit_card,2025-03-02 03:04:03
7,flight,7,1851.2,paid,debit_card,2024-03-25 16:52:38
8,flight,8,2048.45,refunded,bank_transfer,2024-07-15 04:02:26
9,flight,9,1084.95,paid,credit_card,2024-06-08 08:44:40
10,flight,10,1420.6,pending,bank_transfer,2025-03-17 16:56:18
11,flight,11,795.14,paid,bank_transfer,2026-01-13 15:45:33
12,flight,12,1851.2,paid,pix,2025-06-13 06:26:16
13,hotel,1,8505.84,paid,debit_card,2024-03-20 19:27:46
14,hotel,2,5227.69,paid,credit_card,2026-01-12 03:02:06
15,hotel,3,2183.76,paid,bank_transfer,2024-04-11 12:10:47
16,hotel,4,395.78,paid,credit_card,2026-02-02 21:38:26
17,hotel,5,5082.32,pending,pix,2024-03-24 06:41:28
18,hotel,6,1413.76,paid,debit_card,2024-08-19 18:29:20
19,hotel,7,4286.05,refunded,pix,2024-05-12 07:46:27
20,hotel,8,7623.48,pending,bank_transfer,2024-07-03 00:11:39
21,hotel,9,6221.04,paid,bank_transfer,2024-12-16 14:13:34
22,hotel,10,10014.36,paid,bank_transfer,2025-11-30 20:23:47
23,hotel,11,5848.05,paid,bank_transfer,2025-04-06 22:07:41
24,hotel,12,2249.25,refunded,credit_card,2025-04-19 09:24:02
