id,hotel_id,room_number,type,capacity,price_per_night
1,1,353,suite,4,607.56
2,1,896,suite,4,949.59
3,2,344,double,2,875.79
4,2,830,double,2,536.91
5,3,443,double,2,1623.49
6,3,182,single,1,398.87
7,4,492,suite,4,402.13
8,4,319,single,1,834.53
9,5,438,suite,4,918.78
10,5,163,single,1,1524.27
11,6,498,suite,4,1711.0
12,6,120,suite,4,777.63
13,7,106,double,2,642.71
14,7,499,double,2,1038.06
15,8,852,suite,4,1469.78
16,8,325,double,2,512.05
17,9,546,double,2,197.89
18,9,444,suite,4,1270.58
19,10,514,suite,4,422.32
20,10,578,single,1,1768.19
21,11,646,single,1,1646.43
22,11,706,suite,4,1243.95
23,12,185,suite,4,857.21
24,12,987,double,2,449.85
25,1,366,double,2,690.13
26,2,565,double,2,706.88
27,3,488,double,2,1390.82
28,4,951,double,2,566.25
29,5,183,double,2,181.98
30,6,652,single,1,1799.85
